NVDA_Open,NVDA_High,NVDA_Low,NVDA_Close
0.3996,0.8606,0.6856,0.5789
0.2248,0.2248,0.1465,0.7929
0.5809,0.6665,0.1165,0.8759
0.766,0.2699,0.2455,0.2467
0.3434,0.5198,0.4456,0.333
0.5895,0.2116,0.3337,0.3931
0.4649,0.7281,0.2597,0.5114
0.5739,0.1372,0.586,0.2364
0.152,0.8591,0.8725,0.7467
0.3437,0.1781,0.6474,0.4521
0.1976,0.4961,0.1275,0.8275
0.307,0.63,0.3494,0.5161
0.5374,0.2479,0.8757,0.7201
0.8516,0.8159,0.5783,0.8375
0.1708,0.2568,0.1362,0.3603
0.4109,0.3171,0.763,0.3854
0.3247,0.5342,0.2127,0.7418
0.1596,0.8895,0.7178,0.259
0.1044,0.7524,0.6655,0.6832
0.717,0.1592,0.3868,0.1927
0.7905,0.5986,0.3647,0.1508
0.3488,0.3601,0.6837,0.61
0.8098,0.4778,0.1957,0.6706
0.7086,0.549,0.7168,0.495
0.5182,0.442,0.1203,0.1863
0.1251,0.6091,0.3515,0.5069
0.8261,0.2994,0.4283,0.7044
0.283,0.1616,0.3318,0.229
0.8438,0.7465,0.6067,0.7972
0.7429,0.2493,0.814,0.5315
0.746,0.8169,0.3544,0.188
0.2823,0.4417,0.7544,0.7886
0.1056,0.5086,0.4339,0.2777
0.1959,0.3701,0.8543,0.3586
0.515,0.6624,0.3909,0.8774
0.87,0.3014,0.4978,0.3407
0.3279,0.1295,0.5877,0.5021
0.1412,0.3229,0.8266,0.2916
0.2159,0.4916,0.8885,0.2936
0.6377,0.7093,0.2901,0.6826
0.3942,0.6058,0.6068,0.5286
0.1722,0.7682,0.3566,0.2492
0.1326,0.5727,0.6421,0.1133
0.5097,0.2812,0.6161,0.2395
0.6528,0.4094,0.8494,0.21
0.3729,0.1908,0.8398,0.8019
0.3064,0.628,0.7538,0.5442
0.5237,0.2935,0.1745,0.8178
0.8203,0.6065,0.3712,0.3794
0.6808,0.8177,0.8097,0.7239
0.6136,0.1673,0.2293,0.8188
0.5851,0.1074,0.1812,0.6308
0.104,0.2286,0.539,0.6535
0.6216,0.2794,0.6697,0.2898
0.3603,0.6972,0.6197,0.7794
0.6261,0.5546,0.1749,0.3942
0.3122,0.2952,0.8784,0.4145
0.8136,0.6049,0.7358,0.5021
0.5615,0.494,0.2562,0.678
0.3246,0.1195,0.6164,0.2417
